id;start_date;end_date;requested_days;status;approver_comment;approved_start_date;approved_end_date;approved_days;created_at;decided_at;employee_id
1;2025-10-31;2025-10-31;11061;APPROVED;physically;2025-10-31;2025-10-31;22896;2025-10-31T04:41:40;2025-10-31T06:04:13;1
2;2025-10-30;2025-10-30;1013;APPROVED;whose dreamily palate;2025-10-31;2025-10-30;21384;2025-10-30T18:50:44;2025-10-30T16:34:00;2
3;2025-10-30;2025-10-31;1844;APPROVED_WITH_CHANGES;unfurl wheel sand;2025-10-31;2025-10-31;10165;2025-10-30T20:55:14;2025-10-30T14:28:12;2
4;2025-10-31;2025-10-31;30675;APPROVED_WITH_CHANGES;shrilly split;2025-10-31;2025-10-30;6136;2025-10-30T22:19:36;2025-10-31T06:10:14;2
5;2025-10-30;2025-10-31;24523;APPROVED;so;2025-10-30;2025-10-30;13382;2025-10-30T22:37:02;2025-10-30T15:22:30;2
6;2025-10-30;2025-10-31;26174;APPROVED;how;2025-10-30;2025-10-31;15557;2025-10-30T14:48:53;2025-10-30T15:10:27;1
7;2025-10-31;2025-10-31;13688;APPROVED_WITH_CHANGES;because whoever alongside;2025-10-31;2025-10-31;18595;2025-10-31T08:39:14;2025-10-30T22:49:26;2
8;2025-10-30;2025-10-30;15486;APPROVED;pocket-watch;2025-10-31;2025-10-31;13539;2025-10-31T13:05:10;2025-10-31T02:35:09;2
9;2025-10-31;2025-10-31;3302;PENDING;jaggedly boohoo of;2025-10-30;2025-10-30;9981;2025-10-30T20:26:24;2025-10-30T23:46:10;1
10;2025-10-31;2025-10-31;18030;REJECTED;aw while instead;2025-10-30;2025-10-30;21862;2025-10-30T16:09:41;2025-10-31T11:43:35;2
